User_name,Review_date,Title,Review,Review_Rating,Movie_name
sashiii-09115,5 November 2022,SuperDirection #GreatActing #AwesomeStory #Blockbuster #Unbelievable #Wellmade #Inspiring #WowMusic,"SuperDirection #GreatActing
#AwesomeStory #Blockbuster #Unbelievable
#Wellmade #Inspiring #WowMusic
This movie is outstanding, within this one year
odia film industry has seen some new great
heights with rising talented stars, Dipanwit
efforts and work needs to be appreciated and
seen. This movie has changed my perception,
May the industry shine with glory and keep
doing the great work. This movie is outstanding, within this one year
odia film industry has seen some new great
heights with rising talented stars, Dipanwit
efforts and work needs to be appreciated and
seen. This movie has changed my perception,
May the industry shine with glory and keep
doing the great work.
                
                    10 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",9/10,Daman
sahubapun,6 November 2022,Masterpiece story with mind-blowing direction and realistic acting,"After a long time, the movie Daman helped to save the odia industry through it's realistic storyline and representative the beauty of Odisha. The odia industry need this kind of movie to compete with other industries instead of copying. Odia movie industry is one of the oldest movie industry. Due to copying from others, it was not growing as it was in 90s. Do support this movie, I watched a odia movie after 7 years and always preferred to watch south indian movies but this time everything changed. I found my culture, natural beauty and a lot of things through this movie. Thanks to all the Daman team for bringing such a great movie. Lots of love from my heart.
                
                    15 out of 17 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
pradeepmahanty,8 November 2022,Fantastic Movie Ever,"After so many year i go to theatre for watching odia movie.Wonderful movie everWithout heroine without any fight without vfx the movie is so amazing.Lastly odia industry did some amazing work giving lots of efforts.If odia industry do like same then we all forgot Bollywood and tollywood.Just go on......
Really emotional and heart touching movie ever.Who haven't watch go and watch after watching thanks me later.And really thank to Babushan bro your acting skills is so amazing.You guys are awesome and the song also which is singed by Babushan bro is touched my heart.Hearty Congratulations for delivering us a wonderful movie.",10/10,Daman
rupakranjan,6 November 2022,#DAMAN,"This is another masterpiece on the behalf of regional film like kantara, do watch it, this movie nerver disappoint you, support odia film... #DAMAN. The first film of odia industry actually presents the current situation of cutoff district Malkangiri. I didn't feel that DAMAN saw me the truth and the reality of my odisha,having such a serious content ,this film acctually show the real odisha.. Literally after watching this I have no words how the was the experience that i gain from this movie, I will be happy if this film would dubbed in hindi and represent in national level.#Ollywood#DAMAN.....
                
                    19 out of 22 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
saumyaranjansahoo-58868,6 November 2022,Turning point of ollywood industry,"This movie is really a masterpiece ..
Great direction with wonderful screenplay .. I salute to the producer who have courage to make this type of movie in our odia industry ...Babusan mohanty and the co-actor dipanwit were doing there best .Big thing is this is not a copy movie but also it's a real odia incident based on a true fact.I think this movie can change the mindset of all odia film lover. And we expect that this movie will release in more than 5 language and it will succeed 100%. Because the content is king and this content is not fiction it's real and screen presentation is also very natural...Please I request to the entire team of daman movie maker please release it on pan India basis.....
                
                    15 out of 17 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
pabitrakhilarmsdian,8 November 2022,A Great Family Watch...,"The movie expected to create revolution in odia industry finally Realised.Pros:
1) Brilliant Concept ( Specially for Odia Industry)
2) Great Choice of Actors
3) Stunning Visuals
4) Soulful Music
5) Good Bgm
6) Dipanwit shinesCons:
1) Overused HDR effect
2) Babushan's Performance not that great
3) Budget Constraints are easily seen throughout
4) Zero Use of Vfx
Exa- A scene shows presentation on Malaria with Wikipedia articles and no real animation
5) 2nd half isn't that interestingOverall the movie is to celebrate the long standing due of respect which people had lost for odia film industry. The theatre was fully occupied to its capacity and ended with a astounding Applause as the movie ends. Saw audience from all age category from people in their 60s to to children in their teens.Kudos to the makers and as a odia I can proudly say the movie has the capability to completely change the dynamics of odia cinema industry.Go watch it, and you will enjoy till the very end.Worth every penny...",8/10,Daman
kusagar,7 November 2022,Great Movie Great Creations DAMaN odia movie,"This movie was inspired by a true event from a cut off area of Odisha State. This movie says that Odia film industry can do such kind of thing. Fantastic acting by young super star ""Babushan Mohanty"" as lead character. Very good making. Well done ollywood, well done 'DAMaN' Team. It is the beginning of an new era in ollywood film industry. Screen play, cinematography is wonderful by young director. This is very proud movement for all Odia people. It is our duty to full support our industry and actors. This is the first biography film made by ollywood film industry. Babushan luckily being a part of this new journey. Thank you.
                
                    12 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
bikashfreehost,7 November 2022,Just Speechless,"This is the movie which odia people looking for. This movie is a lesson to all those directors producers that content matters. Direction, cinematography, dialogues, all are at par. Thanks to all the members of Daman to take the risk and bring this type of movie to the audience. A Technical Masterpiece That Is Raw, & Gives A Never Seen Before Experience To The Audience I am out of words as i write this review. I was just blown away when i came out of the theater. With an excellent direction, brilliant cinematography its a visual treat. An excellent way to represent the biopic of a doctor. Make this type of movie otherwise don't make.
                
                    12 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
rskrupasindhu,11 November 2022,A new chapter of ollywood industry,"DAMaN ,Film is based on true story. Well executed cinema. Babushan's natural acting in a natural environment, absolutely fitted. Remarkable works of Supporting actor Dipanwit ,who is the soul of the craziness moments of this film. I think the climax could have been better. Yet ,Film is masterpiece.DAMaN ,Film is based on true story. Well executed cinema. Babushan's natural acting in a natural environment, absolutely fitted. Remarkable works of Supporting actor Dipanwit ,who is the soul of the craziness moments of this film. I think the climax could have been better. Yet ,Film is masterpiece.
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",9/10,Daman
darshikamohanty,12 November 2022,A must watch movie....truly inspiring,"This is such an amazing watch I just wished it was dubbed in other languages and I think Odisha govt should make it tax free.The cinematography and the screenplay is so good and the flow of story so good. And the best part of this film is every single frame covered in odisha and in this film you don't get any vulgarity content..every song of this film is heart touchingPlease see this movie it tells about the true story of tribal folks living in Odishas Malkangiri district.Some movies just move you and this movie is one of them for sure and an awakening to the bollywood film industry for sure.
                
                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
officialbk-18506,10 November 2022,ODIA BEST MOVIE,"Cinematography, locations, direction, acting is awsome. You will live the entire movie with lot of emotions, heart touching scenes. Kudos to entire team and hope for blockbuster. You can't imagine such locations is existing within ODISHA. Culture of ODISHA tribes is presented in well manner and it require pan india release.Request every odia people to atleast see this movie once in nearby theaters, believe me you won't regret. This type of original story should be made in future and cinema halls should give more screen and support this kind of cinema. I hardly watch odia cinema in movie hall but this one i bought ticket in last moment and realise that ""Odisha- India's best kept secret""
                
                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
cuteraaz-60186,11 November 2022,Excellent movie. Masterpiece.,"After a long time, the movie Daman helped to save the odia industry through it's realistic storyline and representative the beauty of Odisha. The odia industry need this kind of movie to compete with other industries instead of copying. Odia movie industry is one of the oldest movie industry. Due to copying from others, it was not growing as it was in 90s. Do support this movie, I watched a odia movie after 7 years and always preferred to watch south indian movies but this time everything changed. I found my culture, natural beauty and a lot of things through this movie. Thanks to all the Daman team for bringing such a great movie. Lots of love from my heart.Love you daman crew members.
                
                    7 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
pradhandharmapada,12 November 2022,Game changer,"Really this movie is a game changer of odia cinema and also it's a national level movie. This type of movie need more and more appreciation because it's deserve that.with a very low budget make this kind of cinema really appreciable. It's cinematography really nice ,it's direction, script, screenplay all are good.and one more thing it's song , really every song are heart touching and meaningful. And last but not least it's starcast, omg really everyone done good job , you will be feel like everything is so natural. And also in all department everyone doing good job and yeah it's need more appreciation.
                
                    5 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
sidharthsdr,10 November 2022,Best story & screenplay,"The movie is just lit. Loved the acting of each and every actor . They have shown the real story of Dr Omkar hota sir in best way. Kudos to the efforts of the filmmakers they have done awesome work .the songs dialogues acting all the moments are just made in brilliant way . Songs have a deep meaning .still after coming out from the movie hall all the songs are playing in my head .this kind movie will improve our society a lot .youths like us gets a lot of inspiration from such kind of movies .we need our odia industry to make more movies like this .i request more & more people to watch the movie and appreciate the work of creators.
                
                    5 out of 6 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
bibeksahu-90244,7 November 2022,The biggest turning point of ollywood industry,"Cinematography, locations, direction, acting is awsome. You will live the entire movie with lot of emotions, heart touching scenes. Kudos to entire team and hope for blockbuster. You can't imagine such locations is existing within odisha. Culture of odisha tribes is presented in well manner and it require pan india release.After a long time a great masterpiece movie in odia. Loved this movie. Great work team #DAMaN. Love you Babu Bhai.Request every odia people to atleast see this movie once in nearby theaters, believe me you won't regret. This type of original story should be made in future and cinema halls should give more screen and support this kind of cinema and more masterpiece like this should release in ollywood industry.
                
                    10 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
dabinash-69670,11 November 2022,Blockbuster,"It's a complete package filled with emotions , comedy , visual , music, cinematography🎥 , acting (even if with inexperienced actors except @mohanty_babushaan )Putting comedy into a true story like DAMan is truly a risky move...But the way they have put this into this movie needs hell lot of appreciation Cinematography and Visuals are excellent... Here Tribal people have played their role magnificently...Visuals - 5/4
Comedy -4.5/5
Cinematography - 4/5
Acting - 3.5/5
Music - 3.5/5Overall - 4.5/5#babushaan
#babushaanmohanty
#daman
#odiamovie
#movies @bhubaneswarbuzz#babushaanfanpageReally loved this movie..",10/10,Daman
jaganmohanmohapatro,4 November 2022,Must watch movie. Turning point in Ollywood filmmaking.,"The film was very engaging. Enjoyed each and every moment. Got goose bumps in many scenes. The cinematography was upto the mark and the direction is cool. The acting of the star cast is upto the mark. The story line is based on the real life incident of a doctor and the struggle of people in backward districts of odisha due to lack of basic health amenities. And How a doctor fights against it It's a must watch movie. Hope this movie will attract a large mass to the halls. And it would be a success to an another level. The movie progression was also quiet interesting. The background music the songs were all in sync.
                
                    22 out of 24 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
bibekoo,10 November 2022,Masterpiece 💥💥💥 can't believe,"I think finally it's the rise of odia film industry ....i mean it's just amazing the cinematography the direction are awesome and the most interesting topic it's it budget is almost 50 lakh only...but after finish this movie i just want to say that it's a masterpiece movie 💥😌..simply it's the rise of odia cinema industry we all have to support this ultimate movie..😌😌...it's based on a real story which is full of dramatic, ritual ..still i can't belive that it's a odia film with this Ultimate cinematography 💥 already i wached twice this movie ...and the song is totally heart touchin.and the end is unbelievable.
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
pvnkabi-05151,9 November 2022,"If there is a will, there is a way.","The cinematography, the direction, the casting and the acting performance from the artists are undoubtedly carrying this film to its destined end. The chemistry between Babushan and dipanwit is amazing and something i can relate. Watched an Odia film after long and it got me beyond expectations.Special thanks to the directors Devi and vishal. The movie is reflecting the hard work you guys have done creating this masterpiece.All the actors in the movie are new and it is so refreshing to new actors coming in and performing like this on screen. It's like a fresh air.In the end, a big congratulations to the whole team of Daman for executing this concept in best possible way.
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
krishandas-13684,12 November 2022,Awesome movie,"Awesome movie made up with very low budget but a masterpiece... trust me you will love it. This is based on a life of a dr who helped tribals to accept healthcare...... you will see the real tribal life & how people living there. Awesome movie made up with very low budget but a masterpiece... trust me you will love it. This is based on a life of a dr who helped tribals to accept healthcare...... you will see the real tribal life & how people living there. Awesome movie made up with very low budget but a masterpiece... trust me you will love it. This is based on a life of a dr who helped tribals to accept healthcare...... you will see the real tribal life & how people living there.
                
                    4 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
jitendraasp,10 November 2022,Odisha's Must Watch Masterpiece 💙💙,"Watched it today. I will be honestly speaking it's a spectacular masterpiece focussing on our rural rooted culture and the problems that people face which are not even addressed or even proper attention is not paid. Ignorance of anything is truly dangerous. Beautifully depicted a true responsibility of a doctor fighting to its skin to eradicate Malaria in a tribal rural area of Odisha.Extremely happy the way story line is narrated. The screenplay is always binding through out of the movie. The lead actor Babushan Playing Dr. Siddharth beautifully lived his Character and so as other protagonists. Please do support this unique product coming out of state having studded with cultural heritage.
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
kumarbeinglipu,14 November 2022,Awesome movie 🎬 🎞 🎥 🎦 📽 👌,"One of the Finest movie for the ollywood industry since long day. Real stories, original location, No vfx.A great film with a great script inspired from TRUE event ,and a its cinematography is also awesome ,just loved it.Picturization of beauty of Jungles of Malkanigiri, Koraput, Adivasi culture is really mind blowing.Loved that Dhemsa song and Nichhatia Mana by Babusan Mohanty.Kudos to director Duo for this awesome movie.The efforts behind whole team is directly reflecting in the movie. All the very best to Daman team.I hope there will be more realistic films like Daman.We are proud of this Movie.❤",10/10,Daman
srikantapurohitsp,14 November 2022,MasterPiece,The best Odia movie. One of the best movies till now.1st tym after 5 yrs 60% seats were filled for an Odia movie in a multiplex. Can't believe a child sitting besides me scolded his disturbing father to concentrate on the movie .At the climax he stood up & said I will be a doctor definitely. Kudos to Devi Prasad Lenka & Vishal Mourya for giving this extraordinary movie to us. This movie is a tight slap to the cuttack based so called Ollywood film makers. They should retire & give works to these kind of new. Creative filmmakers . The duos Mumbai movie making skills clearly visible on the screen. Probably this will remain BabushanMohanty & 2nd lead named Ravi's best & memorable film.,10/10,Daman
rudrakits,12 November 2022,What a movie !!,"This is how a movie should be made. Hats off. Perfect acting by everyone, awesome songs and high class cinematography. No nonsense scenes, no copy cat of South India movie, no useless item numbers, no useless aaee, oyee and under the belt comedy. This should be the beginning of new era for odia movies. I just want to give a tight hug to the director and the complete team. The location and the songs are so beautiful. When the movie was over everyone was clapping in the theatre, it shows how the movie is being liked by everyone. It's a complete family movie. My suggestion to team Daman is to release it in other languages as well. Kudos again and a must watch.
                
                    3 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
bunnymohanty,7 November 2022,Daman one of the best movie ever made in odisha.,"Daman is one of the best movie ever made in odia and in an unique possible way also. I personally loved the movie but there were some parts which made me not liking them.Things that made me fall in love : the characters, comic dialogues and timing, the way they portrayed some scenes, the scenic views of koraput and how beautifully they have merged those with storytelling.Things I didn't like :
Sound design and mix, background score could have been used intelligently, using of jump shots wasn't going well at some part and most importantly I felt it needed bit more detailings in the story...
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",7/10,Daman
dibyashaktinayak,11 November 2022,Masterpiece,"The film was very engaging. Enjoyed each and every moment. Got goose bumps in many scenes. The cinematography was upto the mark and the direction is cool. The acting of the star cast is upto the mark. The story line is based on the real life incident of a doctor and the struggle of people in backward districts of odisha due to lack of basic health amenities.A most realistic movie I ever watched in Indian film.The background music is too good .Coming to movie location, cinematography, editing, story telling is very nice.This movie is a big turning point for odia film industry.After a long time I watch this type of content.",10/10,Daman
dibyaprasadmohapatra,10 November 2022,The revolution begins,"Must watch... Songs are really really really outstanding... Babushan Mohanty is not only a good actor but also a good singer as well..Without any hesitation I can say Babushan Mohanty is the best singer in this world....... For the first time such a movie is released in Odisha... This is the first Pan film by Odisha...One problem is that it is not dubbed in other languages.... Viewers outside Odisha can understand the concepts through the subtitles only... But plz support Ollywood so that next time we will try to bring more such unique concepts... And we can become a competent of other industries as well... Love you Babushan.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
chand-suhas,24 November 2022,A good doctor will cure the disease but a great doctor will cure the patient.,"DAMaN is about the battle against mosquitoes to eradicate malaria in the 151 villages at the cut off area where the basic amenities too aren't provided to these tribal people. It is about one doctor's efforts to unify multiple department to successfully execute the mission to save lives from malaria. However, this main plot itself is reserved for the last 40mins of the movie.What works for the movie is it's novel story (based on true events) and how well the nativity is projected on screen. The narrative sticks to the basics of film making and the entire first half though doesn't give out anything new, still delivers due to the performances and the setting. The short runtime works well for the movie and when the movie started to feel repetitive, the main plot began which elevated the screenplay.This was my first Odia movie in theater and I am glad to have checked this out.",6/10,Daman
swainsr,11 November 2022,Heart touching 💜💜,"Must watch movie. It is a masterpiece from our odia film industry. Real life story of a doctor whose struggle to cure malaria perfectly portrait in this movie. Please support this movie. Everyone should must watch it in the theater. Great cinematography, story, direction and acting. Such a story which will touch your heart. Congratulations to all the star cast and odia industry for making such a sweet and great movie.This shows content of the film matters not the budget or big banner or bigger star cast. Climax scene was awesome. Once again thank you to the director and script writer for the great work.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
dillipkumarbag,13 November 2022,Amazing movie,"Fantastic one, never seen before in the plywood history..Babusan is masterclass actor. He gives his best to entertain us and making his movies more popular. The story is also masterpiece one. Never seen this before or never heard this one before. Totally it's mind blowing and worth watching. You can not get upset after you watching in a theater to be honest. 1atvtome in the history of indian film industry, A odia film has got popular, and this credit goes to the director of this film 'Damana'. I watched this movie yesterday on theatre, the graphics is also good, no extra experimental addition is there. I suggest you people to go and watch this movie for once may be.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
mekalandiparida,11 November 2022,Must watch movie,"If you have not watched DAMaN, then you have missed a wonderful movie. Leave everything and watch the movie in the nearby theatre. It will be amazing if the Hindi dubbed version will be released. The makers are trying to release the Hindi and other some regional languages shortly. Definitely it will become a super hit movie not in Odisha but also all over India. I have watched it 2 times and planning to watch more few times in Odia language. Also I will watch if the Hindi version will be released. The theatres are houseful. Don't miss a master piece movie like DAMaN. This type of movie comes once in decade.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
arupabhisek,13 November 2022,Very Fantastic Master Piece,"A very inspiring and realistic movie made in Odia language. Need to extend it's language barrier and make it Pan India movie. First time watched a movie in Mumbai and also after almost 10 year watched an Odia Movie in Theatre. Hats off to total DMAaN team for an inspirational movie. Multiple times i cried and feel goosebumps. Superb cinematography and shooting locations. Show ed real problems and teach how to tackle the situation in a very positive way. No unnecessary drama, fight, song and romance like Bollywood movies. Also last but not the list the characters are proper justified to each individual role. A 10/10 movie of 2022.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
mahapatralalkrishna85,6 November 2022,Excellent Odia Movie after ages.,"Odia movies were always known for copy content and bad acting, unnecessary dialogues, vulgar songs.. This movie changes everything. From this point onwards, I hope Odia industry gets it's glory back like old times.Excellent acting, good cast, original content, meaningful and beautiful songs, makes this worth watching.It felt so good. It is for everyone, from all walks of life. After a long time I wanted to watch an Odia movie and I enjoyed watching it. If this kind of orthodox movie, content based, comes forward, people must watch it. The movie is good to watch with the joint efforts of the actor, director, producer. Thank you.
                
                    8 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Daman
